Nombre,NRC,Periodo
8821-0005-202542-51021,51021,202542
6069-2162V-202542-51016,51016,202542
6069-2162V-202542-53446,53446,202542
6069-2161V-202542-51015,51015,202542
6069-2164V-51018-LC2,LC2,51018
6069-2165V-202542-51019,51019,202542
6069-2165V-202542-53759,53759,202542
6069-2163V-202542-51017,51017,202542
5559-0110-202542V5-AP31,AP31,202542V5
6069-2073-202542-50955,50955,202542
6069-2073-202542-50957,50957,202542
6069-2073-202542-50958,50958,202542
6069-2073-202542-50959,50959,202542
6069-2073-202542-50960,50960,202542
6069-2073-202542-50961,50961,202542
6069-2073-202542-50962,50962,202542
6069-2073-202542-50963,50963,202542
6069-2164V-202542-53138,53138,202542
6069-2139-202542V6-AP09,AP09,202542V6
6611-0039-202542-50912,50912,202542
6611-0039-202542-50913,50913,202542
6611-0039-202542-50914,50914,202542
6611-0039-202542-50915,50915,202542
6069-0067-202542-50932,50932,202542
6069-2073-202542-50936,50936,202542
6069-2073-202542-50937,50937,202542
6069-2073-202542-50938,50938,202542
6069-2073-202542-50939,50939,202542
6069-2073-202542-50940,50940,202542
6069-2073-202542-50942,50942,202542
6069-2073-202542-50943,50943,202542
6069-2073-202542-50944,50944,202542
6069-2073-202542-50945,50945,202542
6069-2073-202542-50946,50946,202542
6069-2073-202542-50947,50947,202542
6069-2073-202542-50948,50948,202542
6069-2073-202542-50949,50949,202542
6069-2073-202542-50950,50950,202542
6069-2073-202542-50951,50951,202542
5559-2161-202542-50933,50933,202542
6069-2139-202542-50934,50934,202542
6069-2140-202542-22,22,202542
5557-0044-202542-51228,51228,202542
5564-0099-202542-51950,51950,202542
LGAP-0068-202542-51230,51230,202542
LGAP-0073-202542-51229,51229,202542
LGAP-0072-202542-51231,51231,202542
LGAP-0070-202542-51232,51232,202542
LGAP-0095-202542-51234,51234,202542
LGAP-0074- 202542-51235,51235, 202542
LGAP-0075-202542-51236,51236,202542
LGAP-0088-202542-51237,51237,202542
LGAP-0087-202542-51243,51243,202542
LGAP-0087-202542-51244,51244,202542
LGAP-0087-202542-51245,51245,202542
LGAP-0087-202542-51246,51246,202542
LGAP-0087-202542-51247,51247,202542
LGAP-0087-202542-51248,51248,202542
LGAP-0087-202542-51249,51249,202542
LGAP-0087-202542-51250,51250,202542
LGAP-0087-202542-51251,51251,202542
LGAP-0087-202542-51252,51252,202542
LGAP-0087-202542-52544,52544,202542
LGAP-0087-202542-52545,52545,202542
LGAP-0086-202542-51238,51238,202542
LGAP-0089-202542-51253,51253,202542
5568-0074-202542-51255,51255,202542
LGAP-0102-202542-51254,51254,202542
LGAP-0096-202542-51256,51256,202542
LGAP-0096-202542-52503,52503,202542
LGAP-0096-202542-52504,52504,202542
LGAP-0096-202542-52532,52532,202542
LGAP-0096-202542-52533,52533,202542
LGAP-0096-202542-52534,52534,202542
LGAP-0096-202542-52536,52536,202542
LGAP-0096-202542-53362,53362,202542
LGAP-0096-202542-53315,53315,202542
LGAP-0090-202542-51257,51257,202542
LGAP-0095-202542-51239,51239,202542
LGAP-0074-202542-51240,51240,202542
LGAP-0075-202542-51241,51241,202542
LGAP-0088-202542-51242,51242,202542
5557-0044-202542-51133,51133,202542
5564-0130-202542-51135,51135,202542
5564-0126-202542-51134,51134,202542
5564-0127-202542-51137,51137,202542
5564-0128-202542-51136,51136,202542
5564-0129-202542-51138,51138,202542
5564-2000-202542-51139,51139,202542
5564-2014-202542-51141,51141,202542
2270-0005-202542-51140,51140,202542
5564-2004-202542-51144,51144,202542
5564-2005-202542-51145,51145,202542
5564-2002-202542-51143,51143,202542
5564-2015-202542-51146,51146,202542
5568-0080-202542-51142,51142,202542
5564-2006-202542-LISTADO,LISTADO,202542
5564-2003-202542-51147,51147,202542
5564-0099-202542-50803,50803,202542
5564-2016-202542-51154,51154,202542
3313-2132-202542-51260,51260,202542
3313-2130-202542-51258,51258,202542
3313-2131-202542-51259,51259,202542
5568-0073-202542-50751,50751,202542
5557-0044-202542-50903,50903,202542
PGME-0031-202542-53174,53174,202542
5562-0029-202542-53176,53176,202542
PGME-0030-202542-53173,53173,202542
PGME-0033-202542-53177,53177,202542
5568-0074-202542-53175,53175,202542
5557-0044-202542-50983,50983,202542
PGME-0031-202542-53179,53179,202542
5562-0029-202542-53181,53181,202542
PGME-0030-202542-53178,53178,202542
PGME-0033-202542-53182,53182,202542
5568-0074-202542-53180,53180,202542
5557-0044-202542-51416,51416,202542
PGME-0031-202542-53184,53184,202542
5562-0029-202542-53186,53186,202542
PGME-0030-202542-53183,53183,202542
PGME-0033-202542-53187,53187,202542
5568-0074-202542-53185,53185,202542
5557-0044-202542-51604,51604,202542
PGME-0031-202542-53189,53189,202542
5562-0029-202542-53191,53191,202542
PGME-0030-202542-53188,53188,202542
PGME-0033-202542-53192,53192,202542
5568-0074-202542-53190,53190,202542
PGME-0035-202542-53125,53125,202542
PGME-0034-202542-53128,53128,202542
PGME-0044-202542-53126,53126,202542
PGME-0035-202542-53131,53131,202542
PGME-0034-202542-53133,53133,202542
PGME-0044-202542-53132,53132,202542
PGME-0034-202542-53134,53134,202542
PGME-0036-202542-51168,51168,202542
PGME-0035-202542-51171,51171,202542
PGME-0034-202542-51170,51170,202542
PGME-0044-202542-51173,51173,202542
PGME-0036-202542-51172,51172,202542
PGME-0035-202542-51167,51167,202542
PGME-0034-202542-51174,51174,202542
PGME-0044-202542-51169,51169,202542
PGME-0034-202542-53080,53080,202542
PGME-0045-202542-51181,51181,202542
3313-0103-202542-ME,ME,202542
3313-0102-202542-51201,51201,202542
PGME-0042-202542-51180,51180,202542
PGME-0043-202542-51179,51179,202542
5553-0019-202542-52741,52741,202542
3313-2011-202542-51222,51222,202542
3313-2012-202542-51223,51223,202542
3313-2013-202542-51224,51224,202542
